msd_name,County,LHD
(TWWTP) Tremonton WWTP,Box Elder,Bear River
(BCSD) Brigham City SD,Box Elder,Bear River
(LCCWWTP) Logan City WWTP,Cache,Bear River
(HCWWTP) Hyrum City WWTP,Cache,Bear River
(NDSD) North Davis SD,Davis,Davis County
(CDSD) Central Davis SD,Davis,Davis County
(SDSD_N) South Davis SD - North,Davis,Davis County
(SDSD_S) South Davis SD - South,Davis,Davis County
(SLCWRF) Salt Lake City WRF,Salt Lake,Salt Lake County
(CVWRF) Central Valley WRF,Salt Lake,Salt Lake County
(SVWRF) South Valley WRF,Salt Lake,Salt Lake County
(JBSVPP) Jordan Basin SVPP,Salt Lake,Salt Lake County
(JBWRF) Jordan Basin WRF,Salt Lake,Salt Lake County
(PRWID) Price WID,Carbon,Southeast Utah
(MWRF) Moab WRF,Grand,Southeast Utah
(CCRWWTF) Cedar City WWTF,Iron,Southwest Utah
(ACSSD) Ash Creek SSD,Washington,Southwest Utah
(SGWWTP) St George WWTP,Washington,Southwest Utah
(SBWRD_EC) Snyderville Basin East Canyon,Summit,Summit County
(SBWRD_SC) Snyderville Basin Silver Creek,Summit,Summit County
(CVWWTP) Coalville WWTP,Summit,Summit County
(TOOELEWRF) Tooele WRF,Tooele,Tooele County
(ROOSCSD) Roosevelt City SD,Duchesne,TriCounty
(AVWRF) Ashley Valley WRF,Uintah,TriCounty
(TSSD) Timpanogos SSD,Utah,Utah County
(OWRF) Orem WRF,Utah,Utah County
(PCWRF) Provo City WRF,Utah,Utah County
(SVWWTP) Springville WWTP,Utah,Utah County
(SFWWTP) Spanish Fork WWTP,Utah,Utah County
(PWWTP) Payson WWTP,Utah,Utah County
(SQWRF) Santaquin WRF,Utah,Utah County
(JSSDWRF) Jordanelle SSD WRF,Wasatch,Wasatch County
(HVSSD_M) Heber Valley SSD Midway,Wasatch,Wasatch County
(HVSSD_H) Heber Valley SSD Heber City,Wasatch,Wasatch County
(CWSD) Central Weber WSD,Weber,Weber-Morgan
